Crime Category,District,2010,2011,2012,Crimes Over the Years,Population,Crime Percentage
Robbery,Badulla (Badulla & Bandarawela ),79,67,128,274,815405,0.033602934
Unnatural Offence/Grve Sexual Abuse,Badulla (Badulla & Bandarawela ),39,17,25,81,815405,0.009933714
Extortion,Badulla (Badulla & Bandarawela ),0,0,1,1,815405,0.000122638
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=",Badulla (Badulla & Bandarawela ),3,81,138,222,815405,0.027225734
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value ,Badulla (Badulla & Bandarawela ),164,194,296,654,815405,0.080205542
Counterfeiting Currency,Badulla (Badulla & Bandarawela ),0,2,1,3,815405,0.000367915
Offences against  State,Badulla (Badulla & Bandarawela ),0,0,0,0,815405,0
Cruelty to Children & sexual  exploitation of children ,Badulla (Badulla & Bandarawela ),6,12,2,20,815405,0.002452769
Procuration / Trafficking,Badulla (Badulla & Bandarawela ),0,1,0,1,815405,0.000122638
Offences  under the  Offensive weapons Act.,Badulla (Badulla & Bandarawela ),2,2,3,7,815405,0.000858469
Possession of  Automatic or  Repeater Shot Guns,Badulla (Badulla & Bandarawela ),0,0,0,0,815405,0
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000",Badulla (Badulla & Bandarawela ),3,9,20,32,815405,0.00392443
Abduction / Kidnapping,Batticaloa,21,13,21,55,526567,0.010445015
Arson,Batticaloa,30,18,33,81,526567,0.015382658
Mischief  over Rs.5000/=,Batticaloa,45,26,38,109,526567,0.02070012
H.B. & Theft,Batticaloa,237,271,227,735,526567,0.139583377
Grevious  Hurt,Batticaloa,39,36,56,131,526567,0.024878126
Hurt  by Knife etc.,Batticaloa,69,70,89,228,526567,0.043299333
Homicide/Abet. To commit suicide,Batticaloa,9,16,11,36,526567,0.006836737
Attempted Homicide,Batticaloa,5,5,2,12,526567,0.002278912
Rape / Incest,Batticaloa,40,41,52,133,526567,0.025257944
Riot,Batticaloa,0,4,0,4,526567,0.000759637
Robbery,Batticaloa,69,75,89,233,526567,0.04424888
Unnatural Offence/Grve Sexual Abuse,Batticaloa,9,7,2,18,526567,0.003418368
Extortion,Batticaloa,5,2,4,11,526567,0.002089003
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=",Batticaloa,10,213,225,448,526567,0.085079392
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value ,Batticaloa,269,249,221,739,526567,0.140343014
Counterfeiting Currency,Batticaloa,1,0,1,2,526567,0.000379819
Offences against  State,Batticaloa,4,0,0,4,526567,0.000759637
Cruelty to Children & sexual  exploitation of children ,Batticaloa,10,7,6,23,526567,0.004367915
Procuration / Trafficking,Batticaloa,1,0,3,4,526567,0.000759637
Offences  under the  Offensive weapons Act.,Batticaloa,16,3,1,20,526567,0.003798187
Possession of  Automatic or  Repeater Shot Guns,Batticaloa,2,2,1,5,526567,0.000949547
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000",Batticaloa,0,1,3,4,526567,0.000759637
Abduction / Kidnapping,"Colombo (Colombo South, North, Central) Mt. Laviniya, Nugegoda",108,120,154,382,2324349,0.016434709
Arson,"Colombo (Colombo South, North, Central) Mt. Laviniya, Nugegoda",30,23,22,75,2324349,0.00322671
Mischief  over Rs.5000/=,"Colombo (Colombo South, North, Central) Mt. Laviniya, Nugegoda",164,132,140,436,2324349,0.01875794
H.B. & Theft,"Colombo (Colombo South, North, Central) Mt. Laviniya, Nugegoda",3649,3437,2996,10082,2324349,0.43375586
Grevious  Hurt,"Colombo (Colombo South, North, Central) Mt. Laviniya, Nugegoda",149,274,248,671,2324349,0.028868298
Hurt  by Knife etc.,"Colombo (Colombo South, North, Central) Mt. Laviniya, Nugegoda",345,346,379,1070,2324349,0.046034395
Homicide/Abet. To commit suicide,"Colombo (Colombo South, North, Central) Mt. Laviniya, Nugegoda",76,70,62,208,2324349,0.008948742
Attempted Homicide,"Colombo (Colombo South, North, Central) Mt. Laviniya, Nugegoda",17,21,21,59,2324349,0.002538345
Rape / Incest,"Colombo (Colombo South, North, Central) Mt. Laviniya, Nugegoda",87,111,120,318,2324349,0.01368125
Riot,"Colombo (Colombo South, North, Central) Mt. Laviniya, Nugegoda",1,12,3,16,2324349,0.000688365
Robbery,"Colombo (Colombo South, North, Central) Mt. Laviniya, Nugegoda",1436,1613,1542,4591,2324349,0.197517671
Unnatural Offence/Grve Sexual Abuse,"Colombo (Colombo South, North, Central) Mt. Laviniya, Nugegoda",25,31,23,79,2324349,0.003398801
Extortion,"Colombo (Colombo South, North, Central) Mt. Laviniya, Nugegoda",21,45,37,103,2324349,0.004431348
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=","Colombo (Colombo South, North, Central) Mt. Laviniya, Nugegoda",281,1427,1736,3444,2324349,0.14817052
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value ,"Colombo (Colombo South, North, Central) Mt. Laviniya, Nugegoda",3287,3261,2809,9357,2324349,0.402564331
Counterfeiting Currency,"Colombo (Colombo South, North, Central) Mt. Laviniya, Nugegoda",12,8,4,24,2324349,0.001032547
Offences against  State,"Colombo (Colombo South, North, Central) Mt. Laviniya, Nugegoda",2,2,0,4,2324349,0.000172091
Cruelty to Children & sexual  exploitation of children ,"Colombo (Colombo South, North, Central) Mt. Laviniya, Nugegoda",33,53,52,138,2324349,0.005937146
Procuration / Trafficking,"Colombo (Colombo South, North, Central) Mt. Laviniya, Nugegoda",4,6,1,11,2324349,0.000473251
Offences  under the  Offensive weapons Act.,"Colombo (Colombo South, North, Central) Mt. Laviniya, Nugegoda",38,33,21,92,2324349,0.003958098
Possession of  Automatic or  Repeater Shot Guns,"Colombo (Colombo South, North, Central) Mt. Laviniya, Nugegoda",5,5,6,16,2324349,0.000688365
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000","Colombo (Colombo South, North, Central) Mt. Laviniya, Nugegoda",326,470,573,1369,2324349,0.058898212
Abduction / Kidnapping,Galle (Galle/Elpitiya),60,57,73,190,1063334,0.017868327
Arson,Galle (Galle/Elpitiya),36,27,38,101,1063334,0.009498427
Mischief  over Rs.5000/=,Galle (Galle/Elpitiya),65,44,32,141,1063334,0.01326018
H.B. & Theft,Galle (Galle/Elpitiya),867,727,748,2342,1063334,0.220250646
Grevious  Hurt,Galle (Galle/Elpitiya),83,74,81,238,1063334,0.022382431
Hurt  by Knife etc.,Galle (Galle/Elpitiya),146,124,110,380,1063334,0.035736655
Homicide/Abet. To commit suicide,Galle (Galle/Elpitiya),48,65,50,163,1063334,0.015329144
Attempted Homicide,Galle (Galle/Elpitiya),22,11,13,46,1063334,0.004326016
Rape / Incest,Galle (Galle/Elpitiya),128,105,133,366,1063334,0.034420041
Riot,Galle (Galle/Elpitiya),0,0,0,0,1063334,0
Robbery,Galle (Galle/Elpitiya),490,420,481,1391,1063334,0.130814965
Unnatural Offence/Grve Sexual Abuse,Galle (Galle/Elpitiya),27,27,33,87,1063334,0.008181813
Extortion,Galle (Galle/Elpitiya),1,6,4,11,1063334,0.001034482
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=",Galle (Galle/Elpitiya),334,231,249,814,1063334,0.076551676
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value ,Galle (Galle/Elpitiya),472,392,363,1227,1063334,0.115391777
Counterfeiting Currency,Galle (Galle/Elpitiya),2,4,3,9,1063334,0.000846394
Offences against  State,Galle (Galle/Elpitiya),0,1,0,1,1063334,9.40E-05
Cruelty to Children & sexual  exploitation of children ,Galle (Galle/Elpitiya),25,14,4,43,1063334,0.004043885
Procuration / Trafficking,Galle (Galle/Elpitiya),1,0,3,4,1063334,0.000376175
Offences  under the  Offensive weapons Act.,Galle (Galle/Elpitiya),23,19,26,68,1063334,0.00639498
Possession of  Automatic or  Repeater Shot Guns,Galle (Galle/Elpitiya),3,4,2,9,1063334,0.000846394
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000",Galle (Galle/Elpitiya),55,37,65,157,1063334,0.014764881
Abduction / Kidnapping,Gampaha (Kelaniya/Gampha/Negombo Div),96,115,159,370,2304833,0.016053224
Arson,Gampaha (Kelaniya/Gampha/Negombo Div),55,30,27,112,2304833,0.004859354
Mischief  over Rs.5000/=,Gampaha (Kelaniya/Gampha/Negombo Div),146,138,100,384,2304833,0.016660643
H.B. & Theft,Gampaha (Kelaniya/Gampha/Negombo Div),3664,3132,3235,10031,2304833,0.435215914
Grevious  Hurt,Gampaha (Kelaniya/Gampha/Negombo Div),143,137,140,420,2304833,0.018222578
Hurt  by Knife etc.,Gampaha (Kelaniya/Gampha/Negombo Div),382,423,331,1136,2304833,0.049287736
Homicide/Abet. To commit suicide,Gampaha (Kelaniya/Gampha/Negombo Div),83,67,76,226,2304833,0.009805483
Attempted Homicide,Gampaha (Kelaniya/Gampha/Negombo Div),17,14,16,47,2304833,0.002039193
Rape / Incest,Gampaha (Kelaniya/Gampha/Negombo Div),159,120,141,420,2304833,0.018222578
Riot,Gampaha (Kelaniya/Gampha/Negombo Div),0,0,0,0,2304833,0
Robbery,Gampaha (Kelaniya/Gampha/Negombo Div),1345,1330,1413,4088,2304833,0.17736643
Unnatural Offence/Grve Sexual Abuse,Gampaha (Kelaniya/Gampha/Negombo Div),11,16,3,30,2304833,0.001301613
Extortion,Gampaha (Kelaniya/Gampha/Negombo Div),17,27,33,77,2304833,0.003340806
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=",Gampaha (Kelaniya/Gampha/Negombo Div),68,760,1266,2094,2304833,0.090852569
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value ,Gampaha (Kelaniya/Gampha/Negombo Div),2106,1841,1910,5857,2304833,0.254118194
Counterfeiting Currency,Gampaha (Kelaniya/Gampha/Negombo Div),5,5,9,19,2304833,0.000824355
Offences against  State,Gampaha (Kelaniya/Gampha/Negombo Div),0,0,0,0,2304833,0
Cruelty to Children & sexual  exploitation of children ,Gampaha (Kelaniya/Gampha/Negombo Div),59,58,67,184,2304833,0.007983225
Procuration / Trafficking,Gampaha (Kelaniya/Gampha/Negombo Div),2,1,2,5,2304833,0.000216935
Offences  under the  Offensive weapons Act.,Gampaha (Kelaniya/Gampha/Negombo Div),23,12,26,61,2304833,0.002646613
Possession of  Automatic or  Repeater Shot Guns,Gampaha (Kelaniya/Gampha/Negombo Div),1,2,3,6,2304833,0.000260323
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000",Gampaha (Kelaniya/Gampha/Negombo Div),75,72,75,222,2304833,0.009631934
Abduction / Kidnapping,"Jaffna(Jaffna, KKS)",31,18,23,72,583882,0.012331259
Arson,"Jaffna(Jaffna, KKS)",6,8,6,20,583882,0.00342535
Mischief  over Rs.5000/=,"Jaffna(Jaffna, KKS)",24,32,46,102,583882,0.017469283
H.B. & Theft,"Jaffna(Jaffna, KKS)",191,244,204,639,583882,0.109439921
Grevious  Hurt,"Jaffna(Jaffna, KKS)",46,27,42,115,583882,0.01969576
Hurt  by Knife etc.,"Jaffna(Jaffna, KKS)",80,46,53,179,583882,0.030656879
Homicide/Abet. To commit suicide,"Jaffna(Jaffna, KKS)",28,29,23,80,583882,0.013701399
Attempted Homicide,"Jaffna(Jaffna, KKS)",3,5,2,10,583882,0.001712675
Rape / Incest,"Jaffna(Jaffna, KKS)",39,42,60,141,583882,0.024148715
Riot,"Jaffna(Jaffna, KKS)",0,0,0,0,583882,0
Robbery,"Jaffna(Jaffna, KKS)",93,83,91,267,583882,0.045728418
Unnatural Offence/Grve Sexual Abuse,"Jaffna(Jaffna, KKS)",1,4,0,5,583882,0.000856337
Extortion,"Jaffna(Jaffna, KKS)",2,1,0,3,583882,0.000513802
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=","Jaffna(Jaffna, KKS)",14,161,211,386,583882,0.066109248
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value ,"Jaffna(Jaffna, KKS)",324,239,191,754,583882,0.129135682
Counterfeiting Currency,"Jaffna(Jaffna, KKS)",1,2,0,3,583882,0.000513802
Offences against  State,"Jaffna(Jaffna, KKS)",0,0,1,1,583882,0.000171267
Cruelty to Children & sexual  exploitation of children ,"Jaffna(Jaffna, KKS)",6,7,9,22,583882,0.003767885
Procuration / Trafficking,"Jaffna(Jaffna, KKS)",0,0,1,1,583882,0.000171267
Offences  under the  Offensive weapons Act.,"Jaffna(Jaffna, KKS)",5,2,2,9,583882,0.001541407
Possession of  Automatic or  Repeater Shot Guns,"Jaffna(Jaffna, KKS)",1,0,0,1,583882,0.000171267
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000","Jaffna(Jaffna, KKS)",1,2,3,6,583882,0.001027605
Abduction / Kidnapping,"Kalutara (Kalutara,Panadura)",66,72,72,210,1221948,0.017185674
Arson,"Kalutara (Kalutara,Panadura)",33,11,17,61,1221948,0.004992029
Mischief  over Rs.5000/=,"Kalutara (Kalutara,Panadura)",54,49,50,153,1221948,0.012520991
H.B. & Theft,"Kalutara (Kalutara,Panadura)",1241,1287,1120,3648,1221948,0.298539709
Grevious  Hurt,"Kalutara (Kalutara,Panadura)",46,79,62,187,1221948,0.015303434
Hurt  by Knife etc.,"Kalutara (Kalutara,Panadura)",149,178,185,512,1221948,0.04190031
Homicide/Abet. To commit suicide,"Kalutara (Kalutara,Panadura)",47,41,35,123,1221948,0.010065895
Attempted Homicide,"Kalutara (Kalutara,Panadura)",13,6,7,26,1221948,0.00212775
Rape / Incest,"Kalutara (Kalutara,Panadura)",90,89,108,287,1221948,0.023487088
Riot,"Kalutara (Kalutara,Panadura)",0,0,0,0,1221948,0
Robbery,"Kalutara (Kalutara,Panadura)",388,381,390,1159,1221948,0.094848553
Unnatural Offence/Grve Sexual Abuse,"Kalutara (Kalutara,Panadura)",31,20,11,62,1221948,0.005073866
Extortion,"Kalutara (Kalutara,Panadura)",0,3,4,7,1221948,0.000572856
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=","Kalutara (Kalutara,Panadura)",74,290,301,665,1221948,0.054421301
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value ,"Kalutara (Kalutara,Panadura)",767,875,725,2367,1221948,0.193707097
Counterfeiting Currency,"Kalutara (Kalutara,Panadura)",0,1,0,1,1221948,8.18E-05
Offences against  State,"Kalutara (Kalutara,Panadura)",0,0,0,0,1221948,0
Cruelty to Children & sexual  exploitation of children ,"Kalutara (Kalutara,Panadura)",32,25,41,98,1221948,0.008019981
Procuration / Trafficking,"Kalutara (Kalutara,Panadura)",0,0,0,0,1221948,0
Offences  under the  Offensive weapons Act.,"Kalutara (Kalutara,Panadura)",12,13,4,29,1221948,0.00237326
Possession of  Automatic or  Repeater Shot Guns,"Kalutara (Kalutara,Panadura)",2,4,0,6,1221948,0.000491019
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000","Kalutara (Kalutara,Panadura)",60,45,83,188,1221948,0.01538527
Abduction / Kidnapping,"Kandy (Kandy, Gampola)",54,51,62,167,1375382,0.012142081
Arson,"Kandy (Kandy, Gampola)",23,31,30,84,1375382,0.006107394
Mischief  over Rs.5000/=,"Kandy (Kandy, Gampola)",77,71,68,216,1375382,0.015704728
H.B. & Theft,"Kandy (Kandy, Gampola)",856,698,918,2472,1375382,0.179731885
Grevious  Hurt,"Kandy (Kandy, Gampola)",117,107,143,367,1375382,0.026683496
Hurt  by Knife etc.,"Kandy (Kandy, Gampola)",196,177,226,599,1375382,0.043551537
Homicide/Abet. To commit suicide,"Kandy (Kandy, Gampola)",24,31,20,75,1375382,0.005453031
Attempted Homicide,"Kandy (Kandy, Gampola)",9,9,13,31,1375382,0.002253919
Rape / Incest,"Kandy (Kandy, Gampola)",92,92,123,307,1375382,0.022321072
Riot,"Kandy (Kandy, Gampola)",2,0,1,3,1375382,0.000218121
Robbery,"Kandy (Kandy, Gampola)",182,196,285,663,1375382,0.04820479
Unnatural Offence/Grve Sexual Abuse,"Kandy (Kandy, Gampola)",42,27,53,122,1375382,0.008870263
Extortion,"Kandy (Kandy, Gampola)",5,6,7,18,1375382,0.001308727
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=","Kandy (Kandy, Gampola)",418,343,349,1110,1375382,0.080704851
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value ,"Kandy (Kandy, Gampola)",539,482,631,1652,1375382,0.120112085
Counterfeiting Currency,"Kandy (Kandy, Gampola)",1,1,6,8,1375382,0.000581657
Offences against  State,"Kandy (Kandy, Gampola)",1,0,0,1,1375382,7.27E-05
Cruelty to Children & sexual  exploitation of children ,"Kandy (Kandy, Gampola)",19,20,28,67,1375382,0.004871374
Procuration / Trafficking,"Kandy (Kandy, Gampola)",0,0,1,1,1375382,7.27E-05
Offences  under the  Offensive weapons Act.,"Kandy (Kandy, Gampola)",6,1,5,12,1375382,0.000872485
Possession of  Automatic or  Repeater Shot Guns,"Kandy (Kandy, Gampola)",1,2,1,4,1375382,0.000290828
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000","Kandy (Kandy, Gampola)",16,14,6,36,1375382,0.002617455
Abduction / Kidnapping,"Kegalle (Kegalle, Sithawakapura0",48,61,60,169,840648,0.020103539
Arson,"Kegalle (Kegalle, Sithawakapura0",43,37,42,122,840648,0.014512614
Mischief  over Rs.5000/=,"Kegalle (Kegalle, Sithawakapura0",83,69,58,210,840648,0.024980729
H.B. & Theft,"Kegalle (Kegalle, Sithawakapura0",962,1001,997,2960,840648,0.352109325
Grevious  Hurt,"Kegalle (Kegalle, Sithawakapura0",66,65,59,190,840648,0.022601612
Hurt  by Knife etc.,"Kegalle (Kegalle, Sithawakapura0",272,298,275,845,840648,0.100517696
Homicide/Abet. To commit suicide,"Kegalle (Kegalle, Sithawakapura0",36,29,26,91,840648,0.010824983
Attempted Homicide,"Kegalle (Kegalle, Sithawakapura0",16,5,3,24,840648,0.00285494
Rape / Incest,"Kegalle (Kegalle, Sithawakapura0",78,66,123,267,840648,0.031761213
Riot,"Kegalle (Kegalle, Sithawakapura0",0,0,0,0,840648,0
Robbery,"Kegalle (Kegalle, Sithawakapura0",305,268,279,852,840648,0.101350387
Unnatural Offence/Grve Sexual Abuse,"Kegalle (Kegalle, Sithawakapura0",29,27,34,90,840648,0.010706027
Extortion,"Kegalle (Kegalle, Sithawakapura0",1,2,1,4,840648,0.000475823
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=","Kegalle (Kegalle, Sithawakapura0",31,163,177,371,840648,0.044132622
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value ,"Kegalle (Kegalle, Sithawakapura0",528,521,474,1523,840648,0.181169764
Counterfeiting Currency,"Kegalle (Kegalle, Sithawakapura0",0,0,1,1,840648,0.000118956
Offences against  State,"Kegalle (Kegalle, Sithawakapura0",0,0,0,0,840648,0
Cruelty to Children & sexual  exploitation of children ,"Kegalle (Kegalle, Sithawakapura0",14,18,22,54,840648,0.006423616
Procuration / Trafficking,"Kegalle (Kegalle, Sithawakapura0",3,1,0,4,840648,0.000475823
Offences  under the  Offensive weapons Act.,"Kegalle (Kegalle, Sithawakapura0",3,4,3,10,840648,0.001189559
Possession of  Automatic or  Repeater Shot Guns,"Kegalle (Kegalle, Sithawakapura0",3,0,1,4,840648,0.000475823
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000","Kegalle (Kegalle, Sithawakapura0",3,7,6,16,840648,0.001903294
Abduction / Kidnapping,"Kilinochchi (Kilinochchi, Mankulam )",0,2,7,9,113510,0.007928817
Arson,"Kilinochchi (Kilinochchi, Mankulam )",0,1,3,4,113510,0.003523919
Mischief  over Rs.5000/=,"Kilinochchi (Kilinochchi, Mankulam )",2,2,6,10,113510,0.008809796
H.B. & Theft,"Kilinochchi (Kilinochchi, Mankulam )",18,58,71,147,113510,0.129504008
Grevious  Hurt,"Kilinochchi (Kilinochchi, Mankulam )",7,17,25,49,113510,0.043168003
Hurt  by Knife etc.,"Kilinochchi (Kilinochchi, Mankulam )",17,28,40,85,113510,0.07488327
Homicide/Abet. To commit suicide,"Kilinochchi (Kilinochchi, Mankulam )",9,8,4,21,113510,0.018500573
Attempted Homicide,"Kilinochchi (Kilinochchi, Mankulam )",1,1,4,6,113510,0.005285878
Rape / Incest,"Kilinochchi (Kilinochchi, Mankulam )",9,31,27,67,113510,0.059025637
Riot,"Kilinochchi (Kilinochchi, Mankulam )",1,0,0,1,113510,0.00088098
Robbery,"Kilinochchi (Kilinochchi, Mankulam )",28,40,27,95,113510,0.083693067
Unnatural Offence/Grve Sexual Abuse,"Kilinochchi (Kilinochchi, Mankulam )",0,1,0,1,113510,0.00088098
Extortion,"Kilinochchi (Kilinochchi, Mankulam )",6,3,1,10,113510,0.008809796
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=","Kilinochchi (Kilinochchi, Mankulam )",3,33,73,109,113510,0.096026782
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value ,"Kilinochchi (Kilinochchi, Mankulam )",119,139,140,398,113510,0.3506299
Counterfeiting Currency,"Kilinochchi (Kilinochchi, Mankulam )",0,0,0,0,113510,0
Offences against  State,"Kilinochchi (Kilinochchi, Mankulam )",3,0,0,3,113510,0.002642939
Cruelty to Children & sexual  exploitation of children ,"Kilinochchi (Kilinochchi, Mankulam )",3,4,7,14,113510,0.012333715
Procuration / Trafficking,"Kilinochchi (Kilinochchi, Mankulam )",0,0,1,1,113510,0.00088098
Offences  under the  Offensive weapons Act.,"Kilinochchi (Kilinochchi, Mankulam )",7,2,4,13,113510,0.011452735
Possession of  Automatic or  Repeater Shot Guns,"Kilinochchi (Kilinochchi, Mankulam )",1,0,1,2,113510,0.001761959
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000","Kilinochchi (Kilinochchi, Mankulam )",8,1,0,9,113510,0.007928817
Abduction / Kidnapping,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",65,96,91,252,1618465,0.015570309
Arson,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",96,54,53,203,1618465,0.012542749
Mischief  over Rs.5000/=,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",183,71,60,314,1618465,0.019401099
H.B. & Theft,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",1343,1022,952,3317,1618465,0.20494728
Grevious  Hurt,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",77,120,73,270,1618465,0.016682474
Hurt  by Knife etc.,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",254,229,191,674,1618465,0.041644398
Homicide/Abet. To commit suicide,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",57,59,58,174,1618465,0.010750928
Attempted Homicide,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",17,11,12,40,1618465,0.002471478
